iter	Logloss
0	0.6236304894
1	0.5628284399
2	0.5126920736
3	0.4701600217
4	0.4345500184
5	0.403573655
6	0.3767665494
7	0.3544450415
8	0.3345908951
9	0.3180560783
10	0.3035932671
11	0.2902972567
12	0.2796871748
13	0.2703199204
14	0.2630117809
15	0.2558877556
16	0.2499334266
17	0.2445609913
18	0.2394918942
19	0.234951532
20	0.2312149265
21	0.2266878018
22	0.223307984
23	0.2207793494
24	0.2185047956
25	0.21628649
26	0.213576
27	0.2107204127
28	0.2084011432
29	0.2066116048
30	0.2051969907
31	0.2028819049
32	0.2018122863
33	0.200596226
34	0.1995372861
35	0.1983020795
36	0.1970077075
37	0.1956760319
38	0.1940902099
39	0.1929894198
40	0.1919039198
41	0.1906185201
42	0.1894736237
43	0.1885879284
44	0.1878313891
45	0.1867675099
46	0.1855285304
47	0.1846375111
48	0.1833914512
49	0.1824740332
50	0.1811990248
51	0.1804001847
52	0.1791084636
53	0.1782633587
54	0.1775663269
55	0.1765970206
56	0.17589402
57	0.174822013
58	0.1744475119
59	0.1730178785
60	0.1724026998
61	0.171478585
62	0.1702376903
63	0.1687806261
64	0.167888612
65	0.1669284335
66	0.1663102068
67	0.1656517059
68	0.1644532001
69	0.163593805
70	0.1626398544
71	0.1618147515
72	0.1608527466
73	0.1597641826
74	0.1589664021
75	0.158193849
76	0.1577147384
77	0.1571380423
78	0.1561780652
79	0.1553072494
80	0.1544986526
81	0.1537139784
82	0.1531592415
83	0.1521436702
84	0.151421682
85	0.1507883583
86	0.1502139734
87	0.149727146
88	0.1491822345
89	0.1486629529
90	0.1479441278
91	0.147233818
92	0.14650901
93	0.1457927241
94	0.1447682075
95	0.1436565997
96	0.1428976915
97	0.1422808383
98	0.1415869964
99	0.1409287355
100	0.1403446783
101	0.139856541
102	0.1389576057
103	0.1381567131
104	0.1375111972
105	0.1372184399
106	0.1364772769
107	0.1358463994
108	0.1351373929
109	0.1346482088
110	0.1342200608
111	0.1329992728
112	0.1322609263
113	0.1319419186
114	0.1310816462
115	0.1301615862
116	0.1296336655
117	0.1291022017
118	0.1287892264
119	0.128334515
120	0.1275578097
121	0.1265720273
122	0.1260109752
123	0.1253714032
124	0.1248790899
125	0.1246775592
126	0.1243651817
127	0.1239055212
128	0.123398628
129	0.1226561529
130	0.1223992812
